trucks_count 10
drones_count 4
customers 200
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
7278.431617163829	-3349.5656543985106	1.0	1.0451664100118456	60	60	1600.0
2862.0232069601234	5463.814577286371	1.0	1.7459503328832506	60	60	1200.0
1668.9512968642491	6959.742353805207	1.0	0.8652785637036985	60	60	1800.0
-12578.880858889132	-12279.46343970514	1.0	0.1337012780303391	60	60	4200.0
-12997.063503965575	-5421.104330678855	1.0	1.6443183813365694	60	60	3700.0
-15485.63540542467	5116.404024216818	1.0	1.4325149703467812	60	60	4200.0
11536.312826611313	-9397.35777464834	1.0	0.4849292672907924	60	60	3700.0
-14014.091288710835	5247.257185603055	1.0	1.3786663116842557	60	60	4100.0
5803.760812222099	-12692.614234718269	1.0	0.6467955617461284	60	60	3000.0
9579.654136202616	9229.99031096882	1.0	1.2291494647840049	60	60	3100.0
10827.043396175291	6626.666944946983	1.0	0.6494591880477772	60	60	3900.0
-1376.0590258858565	-13146.56783988926	1.0	0.9405487321179096	60	60	2900.0
-7279.249820932734	-3495.752062102893	1.0	0.8010534153925346	60	60	1700.0
13270.341444005777	-10333.72023093926	1.0	0.7823696265158728	60	60	4000.0
-3810.495306709575	-1174.0421269812628	1.0	1.3483797098598629	60	60	1200.0
-10792.490897681975	-8066.652817100853	1.0	0.3735729817844527	60	60	2800.0
13421.56306012219	10698.0319016875	1.0	1.9245951307424032	60	60	5200.0
-10651.394474855431	-8207.98975518691	1.0	0.3276095209526977	60	60	4100.0
15097.498250442062	-1133.4455865847938	1.0	0.185637981587771	60	60	3900.0
15198.508418476184	-432.0564640293454	1.0	13.7938596034321	60	60	3700.0
-13271.344822786175	-12057.6186445395	1.0	1.3994403480758324	60	60	4000.0
-2376.009814133016	-1127.7282283481952	1.0	0.4715598587162203	60	60	1200.0
14708.070121347178	-9791.78005498939	1.0	0.902007151897606	60	60	3700.0
15432.892936831742	6335.880621211262	1.0	1.0017582948190304	60	60	3800.0
-8299.932846784839	3447.6110412732787	1.0	1.9434503131073468	60	60	1800.0
-6456.912233707481	9827.634149224998	1.0	0.6150851437023965	60	60	2500.0
-362.07101589150886	-10586.552569943384	1.0	1.6087562842827523	60	60	2100.0
7407.744192691785	-8520.547281599576	1.0	0.8532556405053484	60	60	2900.0
-9557.089502385576	11095.452568743114	1.0	1.1417170315606764	60	60	3300.0
10954.790486453634	-7607.155453124477	1.0	0.9186162703459816	60	60	3000.0
-238.16976309716944	6881.385274593709	1.0	1.6652220079814564	60	60	1600.0
2053.031160340396	-9173.05034760242	1.0	2.269305801411455	60	60	2000.0
12733.134428683295	7415.531642626635	1.0	0.6648728708705246	60	60	3700.0
6033.195878490877	-14734.419832500838	1.0	1.8709102301177456	60	60	3200.0
