trucks_count 2
drones_count 2
customers 20
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
1865.73675124259	362.8454774782118	1.0	22.75226512905474	60	60	1200.0
3181.9794111585034	838.711900566971	1.0	0.4928310702187601	60	60	1200.0
-2421.5855675845332	3885.9088222399064	1.0	1.068989619887919	60	60	1200.0
1384.4172307267488	-2488.174878716521	1.0	1.0251140386661073	60	60	1200.0
406.1205452740268	-1535.783292455777	1.0	0.1608077934769958	60	60	1200.0
3608.709643817832	-1550.731874339587	1.0	0.9449693877769468	60	60	1200.0
405.7394545022735	2474.897677470486	1.0	14.418542618676392	60	60	1200.0
1628.1343755624457	2933.4313116806056	1.0	0.1121021886806452	60	60	1200.0
2080.0481521497254	3741.6435962513647	1.0	0.7318376612782035	60	60	1200.0
-3635.9712420590818	-978.8259923673965	1.0	0.3139999533331784	60	60	1200.0
-1070.6281778385223	-2481.2258590387005	1.0	0.6640575381796631	60	60	1200.0
-245.56926005082977	2797.215954795756	1.0	3.8214547202289504	60	60	1200.0
1136.3113325700049	2190.203844165631	1.0	1.111889515927706	60	60	1200.0
-3519.9211085326224	1806.28514591327	1.0	0.4557356539169737	60	60	1200.0
-1268.0134658576123	2674.33023186645	1.0	1.087140652652774	60	60	1200.0
-1650.246665813571	3108.570585704	1.0	0.2542422322195165	60	60	1200.0
2098.31535339947	-1154.864207278798	1.0	29.819234898967903	60	60	1200.0
-3756.082559352259	2173.11256252809	1.0	15.203843757709423	60	60	1200.0
-2102.0757025743565	330.06758761568955	1.0	0.975698551963657	60	60	1200.0
2768.890376221323	-3389.9662662884084	1.0	14.08184249564495	60	60	1400.0
